Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Germany,7.078494751427,6.4981149466716,6.1755504849433,6.012276804398,5.4452904179418,5.0632691577788,4.4595346556269,4.9038794371271,4.481630915286,4.1466029163621,4.181139130246,4.259981432688,3.9013974012069,3.8535340536623,3.9556794322703,3.6690302038879
Greece,15.129901986321,14.972394534697,14.911655416031,14.465468629137,13.888113849266,13.010857095573,11.248698530945,10.25766241089,8.8824685782674,7.9882838503528,7.2756844703123,7.3033586792728,7.6411281124151,6.7885113129009,6.516983958444,6.4151582730506
Hungary,12.810448264866,12.656536749661,12.93097331327,12.239029031732,9.9149849767073,8.1946171733057,7.3894154013791,6.3891223889469,6.0914676661372,5.9643964888577,6.3377226618638,6.5343753294457,6.1746699170997,6.3791386448117,6.4325642788559,6.170214420579
Iceland,7.9154764772688,6.4718966404044,10.337089142388,4.8753217712369,3.8039808659762,5.3230129505774,2.5186537795548,3.7682288068532,2.8162403191739,4.6604547982489,1.2282334011932,4.8617441507141,5.4130617179254,4.7288450682579,5.1657339647008,1.6807146398649
Ireland,9.2830437263627,9.6311184355172,8.6736328215969,7.7878066909702,6.2587417685769,5.263947137585,4.6599264786694,4.0692374183445,3.5568496960421,4.0948908177954,4.1398474983678,3.4632945294698,3.8508037812354,3.260608525697,2.898315499032,2.8750632106096
Israel,7.3508005822416,6.7099567099567,6.2234193365466,5.7288790723357,5.9242030373512,4.6225167332434,4.9194005415276,4.91862381541,3.6661062159463,3.8340798828682,3.882857003749,4.2063473308599,4.3689882952833,4.1775217196699,3.5574368442383,
Italy,10.647715750167,10.052742687299,9.7633285796308,8.8125559222025,8.0558710890131,7.1812846062241,6.9504816029926,6.5021816840954,6.3187980605583,5.698227469253,5.5624409247715,5.6385648358964,5.4116379821556,5.5752284907049,5.5122040346126,5.2568321173257
Japan,6.7132910946298,6.2590006887484,5.7415668779839,5.2398431568979,4.7606741221063,4.5800329385931,4.5510627996689,4.3310198045368,4.1257891228483,4.0574404738525,3.8069608051431,3.8435815728392,3.7011651816313,3.4970719618645,3.2947652301828,3.1069931123035
Korea,13.649598602388,13.202468215513,13.046167804194,12.665446242945,11.966231661189,11.839903333821,11.109068002268,10.471269611703,10.7410673095,10.097386036215,9.3838689951983,9.0581295713196,8.3798986848382,8.1480613133729,7.3265775738557,
Lithuania,22.095195280631,23.038727713831,23.101462535355,22.769349870445,15.532566250753,11.621128593755,9.5163043893397,9.6966901527491,10.021170972163,8.6813003780403,9.0709203281023,8.1813955749262,6.508437774142,6.6013461127903,6.1589924315595,6.585106778938
Luxembourg,10.989977140848,10.19014374607,9.1667625979032,9.4500689855036,7.2344093311479,9.726443768997,6.3736640202683,6.4473272897781,6.4780043173993,8.3792797171155,6.3673409983991,6.394793217256,5.553154972937,4.232503254795,5.9800167772693,3.5836805702613
Netherlands,4.9452479857341,4.5996676218848,4.4691478804301,4.3342728129467,4.1266902438642,3.906395248222,3.2398211546324,3.2781375423659,3.3591650335068,2.8367822188583,2.8284023169369,3.1418768637513,3.1391497321416,3.132042155297,,
New Zealand,10.736271854223,9.7971387516752,9.4927536231884,9.9671864124284,8.5920535242679,8.9248568885253,8.5855186340096,6.4460776525383,6.9477027465983,5.6586260498093,6.4968325169793,6.9180063958927,6.967824419348,7.8853495212466,7.737133944526,7.0694087403599
Northern Ireland,8.5762192525037,7.8137073263056,7.2284470369965,6.4143208511406,6.0141010998498,6.4126405971451,3.0473733580891,3.2519106352911,2.6321071004379,3.1152222328492,4.292316536068,3.996498203466,3.6517184288804,3.3674820962202,2.9229805260408,
Norway,5.6363172827183,4.8411295418967,5.2152710895757,4.9774264099255,5.3829595765067,4.4173550378267,4.2814219837434,3.4144224799072,2.9082186258366,3.702035624669,2.8778555864659,2.2645922485524,2.5908122887408,2.0158541221459,2.0394216426824,2.0269463752568
Poland,14.956556858168,14.26107699161,13.740578249553,14.643750443109,14.264485280465,11.988711102375,10.239123623243,10.872085566039,9.2660713598553,8.7119454786365,8.4223581676989,7.7304368770361,7.970035406079,7.4553042527836,7.5362024075455,7.6607442187847
Portugal,13.654093124734,13.130472300611,10.18836779494,10.215912746231,9.2672091742718,8.7948382914195,8.8617946846066,8.4273480781343,6.8105947053033,6.0740197013737,6.118553593111,5.7157607137742,5.4441740085656,5.8392331088785,6.5591121274874,6.0428446443027
Slovenia,13.72447760581,12.915563253721,13.127958158252,14.574380825089,10.645341494099,8.4138554056807,6.741652076038,6.8774147163993,6.324507564111,6.0714360306214,5.2399585655128,5.8171269791563,6.2978759686618,5.0341377465941,4.4027713268308,4.9017063704883
Spain,11.142853187609,10.259528184578,9.3251595189645,8.5364039557647,6.7879834037747,5.8694694442968,5.330566200136,4.4142377252156,4.0646569661268,3.5952832451883,3.6291554394149,3.6362019751961,3.8974938447052,3.9331967804786,3.8706817652975,3.7390496976163
Sweden,5.3477901928213,4.8827084650185,4.9183487787906,5.1682949356086,4.323240291467,3.8676164581989,2.847757797557,3.3880051871528,3.0054239994179,2.7208341491475,2.7994173894002,2.6571310883824,2.7408337636612,2.521222036321,3.2015044699524,2.1602737389402
Switzerland,6.9254447357658,5.515770383199,4.9603653402918,5.1140411192878,4.7013930609545,4.5313752944745,4.1999505253534,4.0660044670142,4.2616518464267,3.3461623622662,2.9853933181983,3.07125829088,2.5939321681934,2.7317374444002,2.7463039816693,2.1885354215628
United Kingdom,5.6179809016673,5.5219650727102,5.4219283661992,4.9886597278253,4.2782895873775,3.7535845769016,3.0353991596103,3.0970933226115,2.8286620381468,2.7610669099484,2.8701133456369,2.7706942988234,2.7943339980593,2.8104081831697,2.7680962978405,
United States,14.629516710452,14.72336922773,14.31329599695,13.696788062201,12.30639347839,11.045027584682,10.668182551429,10.424741904427,10.764392643314,10.409384249937,10.287117909473,11.066783713925,11.706771079529,11.530666907613,11.275301285555,10.996847567317
